fips,year,n02
1123,1997,12.482461
1123,2002,12.001088
1123,2007,9.5197306
1123,2012,6.182023
1125,1997,12.156336
1125,2002,12.140643
1125,2007,8.6962566
1125,2012,6.0795507
1127,1997,12.316935
1127,2002,13.272313
1127,2007,11.232097
1127,2012,7.1845903
1129,1997,11.282001
1129,2002,9.3833799
1129,2007,8.267354
1129,2012,6.7218895
1131,1997,7.7011175
1131,2002,5.7200398
1131,2007,4.9770608
1131,2012,3.510534
1133,1997,12.212337
1133,2002,13.354342
1133,2007,11.414748
1133,2012,7.3160176
4001,1997,9.9073534
4001,2002,13.237167
4001,2007,9.842721
4001,2012,7.8263121
4003,1997,18.389856
4003,2002,17.956057
4003,2007,14.069676
4003,2012,12.27512
4005,1997,29.918995
4005,2002,16.458282
4005,2007,16.202835
4005,2012,17.1898
4007,1997,26.592802
4007,2002,23.178995
4007,2007,18.372807
4007,2012,17.152855
4009,1997,20.528849
4009,2002,18.904512
4009,2007,14.854103
4009,2012,13.307111
4011,1997,18.597893
4011,2002,16.759058
4011,2007,13.974802
4011,2012,12.622695
4012,1997,20.028605
4012,2002,17.726725
4012,2007,15.896538
4012,2012,13.596498
4013,1997,30.042614
4013,2002,28.259144
4013,2007,21.548328
4013,2012,19.558453
4015,1997,19.133228
4015,2002,14.153825
4015,2007,14.188062
4015,2012,13.278596
4017,1997,17.301704
4017,2002,21.441841
4017,2007,15.408041
4017,2012,13.196362
4019,1997,19.941996
4019,2002,18.271198
4019,2007,14.493918
4019,2012,12.850814
4021,1997,26.148277
4021,2002,22.810919
4021,2007,18.023479
4021,2012,16.823441
4023,1997,22.259861
4023,2002,20.053801
4023,2007,15.402876
4023,2012,13.758162
4025,1997,27.695498
4025,2002,17.640629
4025,2007,16.297611
4025,2012,15.690876
4027,1997,18.280582
4027,2002,17.927891
4027,2007,14.794003
4027,2012,12.899696
5001,1997,13.396748
5001,2002,14.800664
5001,2007,9.8371992
5001,2012,8.921524
5003,1997,11.737963
5003,2002,11.221524
5003,2007,8.9453516
5003,2012,7.8884501
5005,1997,12.549586
5005,2002,10.747987
5005,2007,7.8258705
5005,2012,6.9072948
5007,1997,10.947437
5007,2002,8.9066143
5007,2007,7.7545791
5007,2012,7.1556921
5009,1997,11.244844
5009,2002,9.3651104
5009,2007,7.4752674
5009,2012,6.9640203
5011,1997,13.329864
5011,2002,11.883344
5011,2007,8.3522949
5011,2012,7.5701103
5013,1997,13.232716
5013,2002,10.545642
5013,2007,7.3245449
5013,2012,6.6125331
5015,1997,10.009727
5015,2002,9.1257668
5015,2007,8.4802456
5015,2012,7.6470532
5017,1997,12.089416
5017,2002,12.416523
5017,2007,9.7396393
5017,2012,8.3990002
5019,1997,12.207027
5019,2002,9.8840494
5019,2007,6.8706522
5019,2012,6.493691
5021,1997,13.728499
5021,2002,13.69436
5021,2007,9.5666847
5021,2012,8.7919836
5023,1997,12.983986
5023,2002,11.85817
5023,2007,8.60882
5023,2012,8.7205601
5025,1997,12.578862
5025,2002,12.733631
5025,2007,8.363286
5025,2012,7.6020446
5027,1997,8.5473433
5027,2002,6.8832269
5027,2007,5.5457292
5027,2012,5.2587109
5029,1997,11.640068
5029,2002,11.419735
5029,2007,8.6593914
5029,2012,8.3076124
5031,1997,14.022657
5031,2002,14.893424
5031,2007,9.9866657
5031,2012,9.2274055
5033,1997,10.17427
5033,2002,8.5116701
5033,2007,6.4202862
5033,2012,6.3597331
5035,1997,20.185579
5035,2002,18.408358
5035,2007,10.995706
5035,2012,9.256011
5037,1997,15.249592
5037,2002,15.427809
5037,2007,10.101015
5037,2012,9.2632837
5039,1997,12.251679
5039,2002,10.590449
5039,2007,7.5537624
5039,2012,7.0078278
5041,1997,12.924516
5041,2002,13.999825
5041,2007,9.3715
5041,2012,8.6666555
5043,1997,12.695762
5043,2002,12.586994
5043,2007,8.6528234
5043,2012,7.8462253
5045,1997,12.122701
5045,2002,13.082076
5045,2007,9.1364346
5045,2012,8.8512125
5047,1997,9.6675596
5047,2002,8.2278776
5047,2007,6.5798931
5047,2012,6.4266853
5049,1997,13.610238
5049,2002,12.760606
5049,2007,8.8909483
5049,2012,8.4272528
