year,disaster,fips,disaster_dct,disaster_dc,disaster_dt,disaster_d,category,disaster_ct
1997,Hail,01001,1,61,8612,209891,top2,8
1997,Thunderstorm Wind,01001,5,104,9868,216417,top2,8
1997,Winter Storm,01001,2,8,3008,47751,top10,8
2002,Thunderstorm Wind,01001,3,104,12004,216417,top2,12
2002,Hail,01001,4,61,12540,209891,top2,12
2002,Winter Storm,01001,1,8,3376,47751,top10,12
2002,High Wind,01001,4,13,3228,44090,top10,12
2007,Drought,01001,10,16,3616,37442,top10,25
2007,Hail,01001,5,61,12711,209891,top2,25
2007,Thunderstorm Wind,01001,4,104,13015,216417,top2,25
2007,Frost/Freeze,01001,2,9,1851,7678,top20,25
2007,Tornado,01001,1,23,1238,22750,top10,25
2007,Heat,01001,1,22,464,15700,top20,25
2007,Flash Flood,01001,1,16,3688,52939,top10,25
2007,Heavy Snow,01001,1,5,2609,41887,top10,25
2012,Thunderstorm Wind,01001,9,104,16238,216417,top2,33
2012,Tornado,01001,1,23,1057,22750,top10,33
2012,Strong Wind,01001,1,3,1071,14023,top20,33
2012,Hail,01001,4,61,13385,209891,top2,33
2012,Heat,01001,12,22,1632,15700,top20,33
2012,Frost/Freeze,01001,2,9,1006,7678,top20,33
2012,Winter Weather,01001,1,13,2802,26322,top10,33
2012,Wildfire,01001,1,1,480,4995,top30,33
2012,High Wind,01001,1,13,3764,44090,top10,33
2012,Drought,01001,1,16,7883,37442,top10,33
1997,Heat,01002,2,32,739,15700,top20,6
1997,Winter Storm,01002,2,6,3008,47751,top10,6
1997,Cold/Wind Chill,01002,2,2,1579,7587,top20,6
2002,Heat,01002,2,32,1315,15700,top20,6
2002,High Wind,01002,2,12,3228,44090,top10,6
2002,Extreme Cold/Wind Chill,01002,1,1,460,6237,top30,6
2002,Winter Storm,01002,1,6,3376,47751,top10,6
2007,Frost/Freeze,01002,2,8,1851,7678,top20,14
2007,Heat,01002,1,32,464,15700,top20,14
2007,Drought,01002,10,15,3616,37442,top10,14
2007,Strong Wind,01002,1,7,825,14023,top20,14
2012,Heat,01002,15,32,1632,15700,top20,23
2012,Excessive Heat,01002,3,8,1156,5597,top30,23
2012,Dense Fog,01002,1,1,978,7754,top20,23
2012,Strong Wind,01002,1,7,1071,14023,top20,23
2012,Drought,01002,1,15,7883,37442,top10,23
2012,Winter Weather,01002,1,10,2802,26322,top10,23
2012,Frost/Freeze,01002,1,8,1006,7678,top20,23
1997,Hail,01003,15,96,8612,209891,top2,30
1997,Waterspout,01003,2,22,218,3477,top30,30
1997,Thunderstorm Wind,01003,7,106,9868,216417,top2,30
1997,Winter Storm,01003,2,5,3008,47751,top10,30
1997,Flash Flood,01003,1,47,3027,52939,top10,30
1997,Lightning,01003,2,30,841,12849,top20,30
1997,Tornado,01003,1,32,1180,22750,top10,30
2002,Thunderstorm Wind,01003,8,106,12004,216417,top2,25
2002,Hail,01003,5,96,12540,209891,top2,25
2002,Flash Flood,01003,3,47,3234,52939,top10,25
2002,Tornado,01003,3,32,1040,22750,top10,25
2002,Rip Current,01003,2,9,61,806,top30,25
2002,High Wind,01003,1,5,3228,44090,top10,25
2002,Lightning,01003,1,30,875,12849,top20,25
2002,Funnel Cloud,01003,1,11,235,6056,top30,25
2002,Winter Storm,01003,1,5,3376,47751,top10,25
2007,Lightning,01003,3,30,721,12849,top20,30
2007,Flash Flood,01003,4,47,3688,52939,top10,30
2007,Drought,01003,10,15,3616,37442,top10,30
2007,Hail,01003,3,96,12711,209891,top2,30
2007,Heat,01003,1,14,464,15700,top20,30
2007,Frost/Freeze,01003,2,10,1851,7678,top20,30
2007,Thunderstorm Wind,01003,7,106,13015,216417,top2,30
2012,Flash Flood,01003,2,47,2304,52939,top10,22
2012,Thunderstorm Wind,01003,8,106,16238,216417,top2,22
2012,Heat,01003,4,14,1632,15700,top20,22
2012,Frost/Freeze,01003,2,10,1006,7678,top20,22
2012,Hail,01003,2,96,13385,209891,top2,22
2012,Funnel Cloud,01003,1,11,326,6056,top30,22
2012,Drought,01003,1,15,7883,37442,top10,22
2012,Lightning,01003,1,30,591,12849,top20,22
2012,Winter Weather,01003,1,9,2802,26322,top10,22
1997,Winter Storm,01004,2,5,3008,47751,top10,2
2002,Winter Storm,01004,1,5,3376,47751,top10,1
2007,Frost/Freeze,01004,2,9,1851,7678,top20,14
2007,Drought,01004,10,19,3616,37442,top10,14
2007,Heat,01004,1,14,464,15700,top20,14
2007,Heavy Snow,01004,1,5,2609,41887,top10,14
2012,Frost/Freeze,01004,1,9,1006,7678,top20,8
2012,Heat,01004,5,14,1632,15700,top20,8
2012,Drought,01004,1,19,7883,37442,top10,8
2012,Winter Weather,01004,1,10,2802,26322,top10,8
1997,Hail,01005,5,51,8612,209891,top2,9
1997,Winter Storm,01005,2,7,3008,47751,top10,9
1997,Thunderstorm Wind,01005,2,42,9868,216417,top2,9
2002,Tornado,01005,1,11,1040,22750,top10,10
2002,Winter Storm,01005,1,7,3376,47751,top10,10
2002,Hail,01005,4,51,12540,209891,top2,10
2002,Thunderstorm Wind,01005,4,42,12004,216417,top2,10
2007,Drought,01005,10,18,3616,37442,top10,17
2007,Thunderstorm Wind,01005,1,42,13015,216417,top2,17
2007,Frost/Freeze,01005,2,9,1851,7678,top20,17
2007,Funnel Cloud,01005,1,5,340,6056,top30,17
2007,Tornado,01005,2,11,1238,22750,top10,17
2007,Heat,01005,1,18,464,15700,top20,17
2012,Heat,01005,9,18,1632,15700,top20,20
2012,Thunderstorm Wind,01005,7,42,16238,216417,top2,20
2012,Winter Weather,01005,1,8,2802,26322,top10,20
2012,Hail,01005,1,51,13385,209891,top2,20
2012,Drought,01005,1,18,7883,37442,top10,20
2012,Frost/Freeze,01005,1,9,1006,7678,top20,20
1997,Heat,01006,4,105,739,15700,top20,12
1997,Winter Storm,01006,2,7,3008,47751,top10,12
1997,Cold/Wind Chill,01006,6,12,1579,7587,top20,12
2002,Heat,01006,12,105,1315,15700,top20,17
2002,Winter Storm,01006,1,7,3376,47751,top10,17
2002,High Wind,01006,1,10,3228,44090,top10,17
2002,Extreme Cold/Wind Chill,01006,3,22,460,6237,top30,17
2007,Strong Wind,01006,1,7,825,14023,top20,14
2007,Drought,01006,10,26,3616,37442,top10,14
2007,Frost/Freeze,01006,2,11,1851,7678,top20,14
2007,Heat,01006,1,105,464,15700,top20,14
2012,Heat,01006,13,105,1632,15700,top20,17
2012,Frost/Freeze,01006,1,11,1006,7678,top20,17
2012,Drought,01006,1,26,7883,37442,top10,17
2012,Winter Weather,01006,1,17,2802,26322,top10,17
2012,Excessive Heat,01006,1,7,1156,5597,top30,17
1997,Thunderstorm Wind,01007,3,55,9868,216417,top2,6
1997,Winter Storm,01007,2,6,3008,47751,top10,6
1997,Hail,01007,1,43,8612,209891,top2,6
2002,Hail,01007,1,43,12540,209891,top2,3
2002,Winter Storm,01007,1,6,3376,47751,top10,3
2002,Thunderstorm Wind,01007,1,55,12004,216417,top2,3
2007,Heat,01007,3,15,464,15700,top20,25
2007,Hail,01007,4,43,12711,209891,top2,25
2007,Drought,01007,10,19,3616,37442,top10,25
2007,Strong Wind,01007,1,5,825,14023,top20,25
2007,Tornado,01007,4,11,1238,22750,top10,25
2007,Frost/Freeze,01007,2,7,1851,7678,top20,25
2007,Thunderstorm Wind,01007,1,55,13015,216417,top2,25
2012,Thunderstorm Wind,01007,6,55,16238,216417,top2,18
2012,Flash Flood,01007,1,11,2304,52939,top10,18
2012,Hail,01007,2,43,13385,209891,top2,18
2012,Winter Weather,01007,1,14,2802,26322,top10,18
2012,Heat,01007,6,15,1632,15700,top20,18
2012,Drought,01007,1,19,7883,37442,top10,18
2012,Frost/Freeze,01007,1,7,1006,7678,top20,18
1997,Winter Storm,01008,2,6,3008,47751,top10,2
2007,Drought,01008,10,21,3616,37442,top10,14
2007,Frost/Freeze,01008,2,7,1851,7678,top20,14
2007,Strong Wind,01008,1,2,825,14023,top20,14
2007,Heat,01008,1,8,464,15700,top20,14
2012,High Wind,01008,1,13,3764,44090,top10,5
2012,Heat,01008,3,8,1632,15700,top20,5
2012,Frost/Freeze,01008,1,7,1006,7678,top20,5
1997,Hail,01009,6,70,8612,209891,top2,16
1997,Flash Flood,01009,2,29,3027,52939,top10,16
1997,Winter Storm,01009,2,6,3008,47751,top10,16
1997,Thunderstorm Wind,01009,6,145,9868,216417,top2,16
2002,Hail,01009,5,70,12540,209891,top2,13
2002,Thunderstorm Wind,01009,4,145,12004,216417,top2,13
2002,High Wind,01009,1,7,3228,44090,top10,13
2002,Tornado,01009,1,24,1040,22750,top10,13
2002,Lightning,01009,1,10,875,12849,top20,13
2002,Winter Storm,01009,1,6,3376,47751,top10,13
2007,Heavy Snow,01009,1,7,2609,41887,top10,20
2007,Thunderstorm Wind,01009,5,145,13015,216417,top2,20
2007,Drought,01009,10,26,3616,37442,top10,20
2007,Frost/Freeze,01009,2,9,1851,7678,top20,20
2007,Lightning,01009,1,10,721,12849,top20,20
2007,Heat,01009,1,9,464,15700,top20,20
2012,Hail,01009,9,70,13385,209891,top2,30
2012,Thunderstorm Wind,01009,12,145,16238,216417,top2,30
2012,Heat,01009,5,9,1632,15700,top20,30
2012,Flash Flood,01009,1,29,2304,52939,top10,30
2012,Heavy Rain,01009,2,2,1041,13299,top20,30
2012,Frost/Freeze,01009,1,9,1006,7678,top20,30
1997,Winter Storm,01010,2,6,3008,47751,top10,2
2002,Winter Storm,01010,1,6,3376,47751,top10,1
2007,Strong Wind,01010,1,7,825,14023,top20,15
2007,Drought,01010,10,26,3616,37442,top10,15
2007,Heat,01010,1,8,464,15700,top20,15
2007,Heavy Snow,01010,1,8,2609,41887,top10,15
2007,Frost/Freeze,01010,2,11,1851,7678,top20,15
2012,Frost/Freeze,01010,2,11,1006,7678,top20,8
2012,Heat,01010,4,8,1632,15700,top20,8
2012,Strong Wind,01010,1,7,1071,14023,top20,8
2012,Winter Weather,01010,1,11,2802,26322,top10,8
1997,Hail,01011,1,18,8612,209891,top2,1
2002,High Wind,01011,1,3,3228,44090,top10,8
2002,Winter Storm,01011,1,4,3376,47751,top10,8
2002,Thunderstorm Wind,01011,4,26,12004,216417,top2,8
2002,Hail,01011,2,18,12540,209891,top2,8
2007,Thunderstorm Wind,01011,2,26,13015,216417,top2,18
2007,Drought,01011,10,22,3616,37442,top10,18
2007,Tornado,01011,1,11,1238,22750,top10,18
2007,Frost/Freeze,01011,2,2,1851,7678,top20,18
2007,Heat,01011,1,5,464,15700,top20,18
2007,Strong Wind,01011,2,5,825,14023,top20,18
2012,Thunderstorm Wind,01011,1,26,16238,216417,top2,5
2012,Heat,01011,4,5,1632,15700,top20,5
2007,Drought,01012,9,16,3616,37442,top10,13
2007,Heat,01012,1,5,464,15700,top20,13
2007,Frost/Freeze,01012,2,2,1851,7678,top20,13
2007,Strong Wind,01012,1,7,825,14023,top20,13
2012,Heat,01012,4,5,1632,15700,top20,4
1997,Thunderstorm Wind,01013,4,48,9868,216417,top2,9
1997,Tornado,01013,1,9,1180,22750,top10,9
1997,Hail,01013,3,28,8612,209891,top2,9
1997,Flash Flood,01013,1,11,3027,52939,top10,9
2002,Thunderstorm Wind,01013,2,48,12004,216417,top2,3
2002,Tornado,01013,1,9,1040,22750,top10,3
2007,Tornado,01013,2,9,1238,22750,top10,21
2007,Drought,01013,10,22,3616,37442,top10,21
2007,Frost/Freeze,01013,2,2,1851,7678,top20,21
2007,Thunderstorm Wind,01013,5,48,13015,216417,top2,21
2007,Hail,01013,1,28,12711,209891,top2,21
2007,Heat,01013,1,5,464,15700,top20,21
2012,Flash Flood,01013,3,11,2304,52939,top10,19
2012,Lightning,01013,2,4,591,12849,top20,19
2012,Thunderstorm Wind,01013,7,48,16238,216417,top2,19
2012,Heat,01013,4,5,1632,15700,top20,19
2012,Hail,01013,3,28,13385,209891,top2,19
2002,Winter Storm,01014,1,4,3376,47751,top10,2
2002,High Wind,01014,1,5,3228,44090,top10,2
2007,Drought,01014,10,22,3616,37442,top10,13
2007,Frost/Freeze,01014,2,2,1851,7678,top20,13
2007,Heat,01014,1,3,464,15700,top20,13
2012,Heat,01014,2,3,1632,15700,top20,2
1997,Hail,01015,7,96,8612,209891,top2,9
1997,Thunderstorm Wind,01015,2,95,9868,216417,top2,9
2002,Hail,01015,6,96,12540,209891,top2,12
2002,Lightning,01015,1,7,875,12849,top20,12
2002,Thunderstorm Wind,01015,3,95,12004,216417,top2,12
2002,Flash Flood,01015,1,17,3234,52939,top10,12
2002,Funnel Cloud,01015,1,6,235,6056,top30,12
2007,Drought,01015,10,22,3616,37442,top10,17
2007,Lightning,01015,1,7,721,12849,top20,17
2007,Thunderstorm Wind,01015,3,95,13015,216417,top2,17
2007,Heat,01015,1,3,464,15700,top20,17
2007,Frost/Freeze,01015,2,2,1851,7678,top20,17
2012,Heat,01015,2,3,1632,15700,top20,19
2012,Hail,01015,9,96,13385,209891,top2,19
2012,Thunderstorm Wind,01015,7,95,16238,216417,top2,19
2012,Heavy Rain,01015,1,1,1041,13299,top20,19
1997,Winter Storm,01016,1,4,3008,47751,top10,1
2002,Winter Storm,01016,1,4,3376,47751,top10,1
2007,Heat,01016,1,9,464,15700,top20,14
2007,Drought,01016,10,21,3616,37442,top10,14
2007,Frost/Freeze,01016,2,10,1851,7678,top20,14
2007,Strong Wind,01016,1,1,825,14023,top20,14
2012,Heat,01016,3,9,1632,15700,top20,5
2012,Frost/Freeze,01016,2,10,1006,7678,top20,5
1997,Hail,01017,5,57,8612,209891,top2,5
2002,Hail,01017,1,57,12540,209891,top2,2
2002,Thunderstorm Wind,01017,1,40,12004,216417,top2,2
2007,Drought,01017,10,20,3616,37442,top10,18
2007,Heat,01017,1,3,464,15700,top20,18
2007,Thunderstorm Wind,01017,1,40,13015,216417,top2,18
2007,Hail,01017,3,57,12711,209891,top2,18
2007,Strong Wind,01017,1,10,825,14023,top20,18
2007,Frost/Freeze,01017,2,2,1851,7678,top20,18
2012,Hail,01017,5,57,13385,209891,top2,9
2012,Heat,01017,2,3,1632,15700,top20,9
2012,Thunderstorm Wind,01017,1,40,16238,216417,top2,9
2012,Tornado,01017,1,7,1057,22750,top10,9
1997,Winter Storm,01018,1,7,3008,47751,top10,1
2002,Winter Storm,01018,1,7,3376,47751,top10,1
2007,Drought,01018,10,20,3616,37442,top10,14
2007,Strong Wind,01018,1,11,825,14023,top20,14
2007,Frost/Freeze,01018,2,2,1851,7678,top20,14
2007,Heat,01018,1,4,464,15700,top20,14
2012,Heat,01018,3,4,1632,15700,top20,3
1997,Cold/Wind Chill,01019,4,4,1579,7587,top20,9
1997,Hail,01019,1,78,8612,209891,top2,9
1997,Thunderstorm Wind,01019,2,101,9868,216417,top2,9
1997,Winter Storm,01019,1,6,3008,47751,top10,9
1997,Heat,01019,1,8,739,15700,top20,9
2002,Heat,01019,2,8,1315,15700,top20,9
2002,Winter Storm,01019,1,6,3376,47751,top10,9
2002,Hail,01019,2,78,12540,209891,top2,9
2002,Extreme Cold/Wind Chill,01019,1,2,460,6237,top30,9
2002,Thunderstorm Wind,01019,1,101,12004,216417,top2,9
2002,Lightning,01019,1,4,875,12849,top20,9
2002,Tornado,01019,1,8,1040,22750,top10,9
2007,Drought,01019,10,28,3616,37442,top10,32
2007,Thunderstorm Wind,01019,13,101,13015,216417,top2,32
2007,Frost/Freeze,01019,2,2,1851,7678,top20,32
2007,Hail,01019,5,78,12711,209891,top2,32
2007,Heat,01019,1,8,464,15700,top20,32
2007,Strong Wind,01019,1,6,825,14023,top20,32
2012,Hail,01019,5,78,13385,209891,top2,21
2012,Heat,01019,2,8,1632,15700,top20,21
2012,Drought,01019,7,28,7883,37442,top10,21
2012,Thunderstorm Wind,01019,7,101,16238,216417,top2,21
1997,Winter Storm,01020,1,6,3008,47751,top10,1
2002,Winter Storm,01020,1,6,3376,47751,top10,1
2007,Drought,01020,11,26,3616,37442,top10,15
2007,Strong Wind,01020,1,8,825,14023,top20,15
2007,Frost/Freeze,01020,2,2,1851,7678,top20,15
2007,Heat,01020,1,3,464,15700,top20,15
2012,Heat,01020,2,3,1632,15700,top20,2
1997,Lightning,01021,1,8,841,12849,top20,4
1997,Thunderstorm Wind,01021,1,75,9868,216417,top2,4
1997,Hail,01021,1,48,8612,209891,top2,4
1997,Winter Storm,01021,1,5,3008,47751,top10,4
2002,Winter Storm,01021,1,5,3376,47751,top10,10
2002,Thunderstorm Wind,01021,4,75,12004,216417,top2,10
2002,Hail,01021,2,48,12540,209891,top2,10
2002,Lightning,01021,1,8,875,12849,top20,10
2002,Flash Flood,01021,1,9,3234,52939,top10,10
2002,Heavy Snow,01021,1,4,3126,41887,top10,10
2007,Thunderstorm Wind,01021,4,75,13015,216417,top2,18
2007,Strong Wind,01021,1,3,825,14023,top20,18
2007,Drought,01021,8,34,3616,37442,top10,18
2007,Hail,01021,1,48,12711,209891,top2,18
2007,Heat,01021,1,4,464,15700,top20,18
2007,Tornado,01021,1,11,1238,22750,top10,18
2007,Frost/Freeze,01021,2,2,1851,7678,top20,18
2012,Thunderstorm Wind,01021,6,75,16238,216417,top2,22
2012,Hail,01021,3,48,13385,209891,top2,22
2012,Drought,01021,6,34,7883,37442,top10,22
2012,Tornado,01021,3,11,1057,22750,top10,22
2012,Heat,01021,3,4,1632,15700,top20,22
2012,Heavy Rain,01021,1,3,1041,13299,top20,22
1997,Heavy Snow,01022,1,3,2994,41887,top10,1
2007,Drought,01022,9,16,3616,37442,top10,12
2007,Frost/Freeze,01022,2,2,1851,7678,top20,12
2007,Heat,01022,1,5,464,15700,top20,12
2012,Heat,01022,4,5,1632,15700,top20,4
1997,Hail,01023,8,46,8612,209891,top2,22
1997,Heavy Snow,01023,1,3,2994,41887,top10,22
1997,Flash Flood,01023,3,28,3027,52939,top10,22
1997,Heat,01023,2,15,739,15700,top20,22
1997,Thunderstorm Wind,01023,5,84,9868,216417,top2,22
1997,Funnel Cloud,01023,1,2,372,6056,top30,22
1997,Cold/Wind Chill,01023,2,4,1579,7587,top20,22
2002,Thunderstorm Wind,01023,7,84,12004,216417,top2,11
2002,Extreme Cold/Wind Chill,01023,1,2,460,6237,top30,11
2002,Hail,01023,2,46,12540,209891,top2,11
2002,Heat,01023,1,15,1315,15700,top20,11
2007,Drought,01023,10,23,3616,37442,top10,21
2007,Lightning,01023,1,4,721,12849,top20,21
2007,Thunderstorm Wind,01023,7,84,13015,216417,top2,21
2007,Frost/Freeze,01023,2,2,1851,7678,top20,21
2007,Heat,01023,1,15,464,15700,top20,21
2012,Heat,01023,7,15,1632,15700,top20,13
2012,Tornado,01023,3,14,1057,22750,top10,13
2012,Thunderstorm Wind,01023,3,84,16238,216417,top2,13
1997,High Wind,01024,2,7,2415,44090,top10,7
1997,Cold/Wind Chill,01024,2,9,1579,7587,top20,7
1997,Heat,01024,2,44,739,15700,top20,7
1997,Heavy Snow,01024,1,4,2994,41887,top10,7
2002,Heat,01024,5,44,1315,15700,top20,9
2002,High Wind,01024,1,7,3228,44090,top10,9
2002,Extreme Cold/Wind Chill,01024,3,11,460,6237,top30,9
2007,Drought,01024,10,25,3616,37442,top10,14
2007,Frost/Freeze,01024,2,2,1851,7678,top20,14
2007,Strong Wind,01024,1,17,825,14023,top20,14
2007,Heat,01024,1,44,464,15700,top20,14
2012,Heat,01024,4,44,1632,15700,top20,4
1997,Hail,01025,6,61,8612,209891,top2,16
1997,Thunderstorm Wind,01025,8,98,9868,216417,top2,16
1997,Heavy Snow,01025,1,4,2994,41887,top10,16
1997,Flash Flood,01025,1,16,3027,52939,top10,16
2002,Tornado,01025,2,10,1040,22750,top10,10
2002,Thunderstorm Wind,01025,6,98,12004,216417,top2,10
2002,Hail,01025,2,61,12540,209891,top2,10
2007,Frost/Freeze,01025,2,2,1851,7678,top20,19
2007,Drought,01025,10,28,3616,37442,top10,19
2007,Thunderstorm Wind,01025,2,98,13015,216417,top2,19
2007,Heat,01025,1,6,464,15700,top20,19
2007,Lightning,01025,1,8,721,12849,top20,19
2007,Flash Flood,01025,1,16,3688,52939,top10,19
2007,Hail,01025,1,61,12711,209891,top2,19
2007,Strong Wind,01025,1,9,825,14023,top20,19
2012,Drought,01025,2,28,7883,37442,top10,22
2012,Thunderstorm Wind,01025,10,98,16238,216417,top2,22
2012,Hail,01025,3,61,13385,209891,top2,22
2012,Tornado,01025,1,10,1057,22750,top10,22
2012,Heat,01025,5,6,1632,15700,top20,22
2012,Lightning,01025,1,8,591,12849,top20,22
2007,Drought,01026,10,20,3616,37442,top10,15
2007,Strong Wind,01026,2,4,825,14023,top20,15
2007,Frost/Freeze,01026,2,2,1851,7678,top20,15
2007,Heat,01026,1,3,464,15700,top20,15
2012,Heat,01026,2,3,1632,15700,top20,2
1997,Lightning,01027,1,5,841,12849,top20,1
2002,Thunderstorm Wind,01027,3,53,12004,216417,top2,6
2002,Flash Flood,01027,1,14,3234,52939,top10,6
2002,Lightning,01027,1,5,875,12849,top20,6
2002,Hail,01027,1,32,12540,209891,top2,6
2007,Frost/Freeze,01027,2,2,1851,7678,top20,16
2007,Drought,01027,10,35,3616,37442,top10,16
2007,Strong Wind,01027,1,6,825,14023,top20,16
2007,Funnel Cloud,01027,1,2,340,6056,top30,16
2007,Heat,01027,1,6,464,15700,top20,16
2007,Thunderstorm Wind,01027,1,53,13015,216417,top2,16
2012,Heat,01027,5,6,1632,15700,top20,15
2012,Thunderstorm Wind,01027,1,53,16238,216417,top2,15
2012,Hail,01027,2,32,13385,209891,top2,15
2012,Drought,01027,7,35,7883,37442,top10,15
1997,Winter Storm,01028,1,4,3008,47751,top10,1
2007,Frost/Freeze,01028,2,2,1851,7678,top20,13
2007,Drought,01028,9,44,3616,37442,top10,13
2007,Strong Wind,01028,1,3,825,14023,top20,13
2007,Heat,01028,1,3,464,15700,top20,13
2012,Drought,01028,10,44,7883,37442,top10,12
2012,Heat,01028,2,3,1632,15700,top20,12
1997,Winter Storm,01029,1,1,3008,47751,top10,1
2002,Thunderstorm Wind,01029,2,44,12004,216417,top2,5
2002,Hail,01029,2,33,12540,209891,top2,5
2002,Heavy Snow,01029,1,3,3126,41887,top10,5
2007,Heat,01029,1,3,464,15700,top20,15
2007,Drought,01029,9,50,3616,37442,top10,15
2007,Thunderstorm Wind,01029,2,44,13015,216417,top2,15
2007,Frost/Freeze,01029,2,2,1851,7678,top20,15
2007,Strong Wind,01029,1,5,825,14023,top20,15
2012,Thunderstorm Wind,01029,2,44,16238,216417,top2,16
2012,Drought,01029,12,50,7883,37442,top10,16
2012,Heat,01029,2,3,1632,15700,top20,16
2007,Frost/Freeze,01030,2,2,1851,7678,top20,13
2007,Drought,01030,10,15,3616,37442,top10,13
2007,Heat,01030,1,6,464,15700,top20,13
2012,Heat,01030,5,6,1632,15700,top20,5
1997,Heavy Snow,01031,1,1,2994,41887,top10,2
1997,Hail,01031,1,27,8612,209891,top2,2
2002,Thunderstorm Wind,01031,2,77,12004,216417,top2,2
2007,Hail,01031,1,27,12711,209891,top2,22
2007,Drought,01031,10,15,3616,37442,top10,22
2007,Heat,01031,1,6,464,15700,top20,22
2007,Thunderstorm Wind,01031,6,77,13015,216417,top2,22
2007,Frost/Freeze,01031,2,2,1851,7678,top20,22
2007,Lightning,01031,1,5,721,12849,top20,22
2007,Tornado,01031,1,14,1238,22750,top10,22
2012,Thunderstorm Wind,01031,13,77,16238,216417,top2,27
2012,Heat,01031,5,6,1632,15700,top20,27
2012,Tornado,01031,5,14,1057,22750,top10,27
2012,Hail,01031,1,27,13385,209891,top2,27
2012,Flash Flood,01031,1,5,2304,52939,top10,27
2012,Funnel Cloud,01031,1,6,326,6056,top30,27
2012,Lightning,01031,1,5,591,12849,top20,27
1997,Heavy Snow,01032,1,2,2994,41887,top10,1
2007,Drought,01032,10,22,3616,37442,top10,13
2007,Frost/Freeze,01032,2,2,1851,7678,top20,13
2007,Heat,01032,1,5,464,15700,top20,13
2012,Heat,01032,4,5,1632,15700,top20,4
1997,Thunderstorm Wind,01033,8,258,9868,216417,top2,18
1997,Hail,01033,7,81,8612,209891,top2,18
1997,Tornado,01033,1,14,1180,22750,top10,18
1997,Heavy Rain,01033,1,7,558,13299,top20,18
1997,Heavy Snow,01033,1,2,2994,41887,top10,18
2002,Flash Flood,01033,2,54,3234,52939,top10,10
2002,Hail,01033,7,81,12540,209891,top2,10
2002,Thunderstorm Wind,01033,1,258,12004,216417,top2,10
2007,Frost/Freeze,01033,2,2,1851,7678,top20,37
2007,Thunderstorm Wind,01033,11,258,13015,216417,top2,37
2007,Heat,01033,1,5,464,15700,top20,37
2007,Drought,01033,10,25,3616,37442,top10,37
2007,Flash Flood,01033,4,54,3688,52939,top10,37
2007,Heavy Rain,01033,2,7,874,13299,top20,37
2007,Lightning,01033,3,20,721,12849,top20,37
2007,Hail,01033,4,81,12711,209891,top2,37
2012,Thunderstorm Wind,01033,25,258,16238,216417,top2,46
2012,Lightning,01033,4,20,591,12849,top20,46
2012,Hail,01033,8,81,13385,209891,top2,46
2012,Flash Flood,01033,4,54,2304,52939,top10,46
2012,Heat,01033,4,5,1632,15700,top20,46
2012,Heavy Rain,01033,1,7,1041,13299,top20,46
1997,Heavy Snow,01034,1,2,2994,41887,top10,1
2007,Drought,01034,10,26,3616,37442,top10,13
2007,Frost/Freeze,01034,2,2,1851,7678,top20,13
2007,Heat,01034,1,4,464,15700,top20,13
2012,Heat,01034,3,4,1632,15700,top20,3
1997,Thunderstorm Wind,01035,3,48,9868,216417,top2,4
1997,Heavy Snow,01035,1,4,2994,41887,top10,4
2002,Thunderstorm Wind,01035,8,48,12004,216417,top2,12
2002,Hail,01035,1,17,12540,209891,top2,12
2002,Flash Flood,01035,1,10,3234,52939,top10,12
2002,Tornado,01035,1,10,1040,22750,top10,12
2002,Funnel Cloud,01035,1,1,235,6056,top30,12
2007,Heat,01035,1,5,464,15700,top20,18
2007,Drought,01035,10,32,3616,37442,top10,18
2007,Frost/Freeze,01035,2,2,1851,7678,top20,18
2007,Thunderstorm Wind,01035,2,48,13015,216417,top2,18
2007,Hail,01035,1,17,12711,209891,top2,18
2007,Flash Flood,01035,1,10,3688,52939,top10,18
2007,Tornado,01035,1,10,1238,22750,top10,18
2012,Drought,01035,4,32,7883,37442,top10,9
2012,Heat,01035,4,5,1632,15700,top20,9
2012,Thunderstorm Wind,01035,1,48,16238,216417,top2,9
2007,Drought,01036,8,46,3616,37442,top10,11
2007,Frost/Freeze,01036,2,2,1851,7678,top20,11
2007,Heat,01036,1,3,464,15700,top20,11
2012,Drought,01036,11,46,7883,37442,top10,13
2012,Heat,01036,2,3,1632,15700,top20,13
1997,Winter Storm,01037,1,2,3008,47751,top10,4
1997,Hail,01037,1,38,8612,209891,top2,4
1997,Thunderstorm Wind,01037,2,27,9868,216417,top2,4
2002,Thunderstorm Wind,01037,1,27,12004,216417,top2,4
2002,Heavy Snow,01037,1,3,3126,41887,top10,4
2002,Hail,01037,2,38,12540,209891,top2,4
2007,Frost/Freeze,01037,2,2,1851,7678,top20,14
2007,Drought,01037,8,53,3616,37442,top10,14
2007,Hail,01037,2,38,12711,209891,top2,14
2007,Thunderstorm Wind,01037,1,27,13015,216417,top2,14
2007,Heat,01037,1,4,464,15700,top20,14
2012,Heat,01037,3,4,1632,15700,top20,18
2012,Drought,01037,12,53,7883,37442,top10,18
2012,Tornado,01037,2,10,1057,22750,top10,18
2012,Thunderstorm Wind,01037,1,27,16238,216417,top2,18
1997,Winter Storm,01038,1,1,3008,47751,top10,1
2002,Heavy Snow,01038,2,4,3126,41887,top10,2
2007,Drought,01038,8,54,3616,37442,top10,11
2007,Frost/Freeze,01038,2,2,1851,7678,top20,11
2007,Heat,01038,1,4,464,15700,top20,11
2012,Drought,01038,12,54,7883,37442,top10,14
